id,name,created_at,updated_at
1,Electronics,2026-05-04T09:26:43.000000Z,2026-05-04T09:26:43.000000Z
2,"Janis Kessler",,
3,"Marty Brakus",,
4,"Jalon Bailey",,
5,"Jaqueline Stroman",,
6,"Santiago Haag",,
7,"William Huels",,
8,"Mrs. Madge Glover",,
9,"Louisa Wehner",,
10,"Miss Bessie Hickle",,
11,"Jana Marquardt",,
12,"Dr. Dean Bernhard IV",,
13,"Dr. Elwyn Reichert II",,
14,"Mr. Judd Ratke DDS",,
15,"Prof. Veronica Funk MD",,
16,"Prof. Dax Kohler II",,
17,"Toney McKenzie",,
18,"Mallory Beatty",,
19,"Isadore Morissette PhD",,
20,"Pete Wintheiser",,
21,"Prof. Haylie White",,
22,"Ryan Altenwerth",,
23,"Mrs. Elmira Bashirian DVM",,
24,"Lucinda Simonis",,
25,"Mrs. Phoebe Tromp",,
26,"Dr. Jessie Erdman",,
27,"Evangeline Beer",,
28,"Rudolph Reichel",,
29,"Miss Caterina Mertz",,
30,"Mr. Hiram Dooley Sr.",,
31,"Alvina Keebler",,
32,"Serenity Russel",,
33,"Kristopher Haag",,
34,"Baylee Pouros",,
35,"Mrs. Mariela Steuber DVM",,
36,"Delfina Christiansen",,
37,"Cayla Medhurst",,
38,"Elwyn Kautzer",,
39,"Rosalee Bednar Jr.",,
40,"Ms. Margret Kuvalis V",,
41,"Mossie Harris",,
42,"Arjun Marquardt",,
43,"Alvera Beier",,
44,"Mr. Shane Hessel",,
45,"Madge Hartmann III",,
46,"Amani Zemlak",,
47,"Jacquelyn Okuneva",,
48,"Dr. Angelo Stanton Sr.",,
49,"Berneice Renner",,
50,"Gregorio Welch",,
51,"Prof. Junius Veum",,
